Interaction,Feynman Diagram,Amplitude,Squared Amplitude,domain
mu eps (X)^(*) AntiPart d gam (X) to mu del (X) AntiPart d eps (X)^(*),"Vertex V_1:AntiPart d(X_2), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0),",+ * * * NEG 1/6 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del d_del_2667_pv d_spi_2_pv_star mu_spi_0_pu_star mu_spi_1_pu + + mass_mu_sq NEG s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ m_mu_2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ m_mu_2 s_s * * 8 s_s s_s ^ + + ^ m_mu_2 NEG s_s * 1/2 reg_prop NEG 2,qed
AntiPart mu del (X) AntiPart mu (X) to AntiPart mu eps (X)^(*) AntiPart nu (X),"Vertex V_0:AntiPart mu(X_1), A(X_4), AntiPart  OffShell mu(V_0), Vertex V_1:A(X_2), AntiPart mu(X_3),  OffShell mu(V_1),",/ * * NEG i ^ e_2 + + + + + + * * p_lor_0 gamma lambda s s_idx_0 * ^ lor_0 p * idx_0 * * lambda p mu_spi_1_pv mu_spi_0_pv_star * * * NEG 1/2 p lambda gamma lambda s s gamma * * lambda s s gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lambda p mu_spi_3_pv mu_spi_5_pv_star + s * NEG 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4 i ^ e_2 + / * * * i ^ e_2 ^ m_mu_2 + ^ m_mu_2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ m_mu_2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
AntiPart c gam (X) b del (X)^(*) to AntiPart c eps (X)^(*) b eta (X),"Vertex V_1:b(X_2), b(X_4),  OffShell A(V_1), Vertex V_0:AntiPart c(X_1), AntiPart c(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s alpha_1442 gamma_lor_spi b_spi_1_pu_star b_spi_2_pu c_alpha_1442_pv c_spi_0_pv_star + + mass_c_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
u gam (X)^(*) AntiPart tt alpha (X) to u beta (X) AntiPart tt gam (X)^(*),"Vertex V_1:AntiPart tt(X_2), AntiPart tt(X_4),  OffShell A(V_1), Vertex V_0:u(X_1), u(X_3),  OffShell A(V_0),",+ * * * NEG 2/9 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi u_spi_0_pu_star u_spi_1_pu tt s_pv tt s_pv_star + + mass_u_sq NEG s * 1/2 reg_prop,* * * 4/81 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * NEG 8 ^ m_tt_2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
t eps (X)^(*) AntiPart tt gam (X) to t del (X) AntiPart tt eps (X)^(*),"Vertex V_1:AntiPart tt(X_2), AntiPart tt(X_4),  OffShell A(V_1), Vertex V_0:t(X_1), t(X_3),  OffShell A(V_0),",+ * * * * 1/3 i ^ e_2 gamma_lor_spi gamma / * * * * lor_0 s_del_4120 t_spi_1_pu t_spi_2_pu_star tt s_pv_star tt_del_4120_pv + + mass_t_sq NEG s * 1/2 reg_prop,* * * 1/9 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * NEG 8 ^ m_tt_2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
AntiPart e eps (X) AntiPart tt eps (X) to AntiPart e eta (X)^(*) AntiPart tt alpha (X)^(*),"Vertex V_1:AntiPart tt(X_2), AntiPart tt(X_4),  OffShell A(V_1), Vertex V_0:AntiPart e(X_1), AntiPart e(X_3),  OffShell A(V_0),",+ * * * 1/3 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del e_spi_0_pv_star e_spi_1_pv tt_del_6014_pv tt s_pv_star + + mass_e_sq NEG s * 1/2 reg_prop,* * * 1/9 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * NEG 8 ^ m_tt_2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
t eps (X)^(*) AntiPart b gam (X) to t del (X) AntiPart b eps (X)^(*),"Vertex V_1:AntiPart b(X_2), AntiPart b(X_4),  OffShell G(V_1), Vertex V_0:t(X_1), t(X_3),  OffShell G(V_0),",+ * * * NEG 1/4 i ^ g_2 gamma / * * lor_spi_spi gamma_lor_spi b_spi + * * * idx_2_spi_pv_star_col_idx_1 b_spi_pv_t_col_idx_1_spi_pu_star t_col_idx_2_spi_pu * * * * NEG 1/3 idx_1_spi_pv_star_col_idx_1 b_spi_pv_t_col_idx_2_spi_pu_star t_col_idx_2_spi_pu + + mass_t_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
t eps (X)^(*) AntiPart t eta (X) to b lambda (X) AntiPart c tau (X),"Vertex V_0:AntiPart t(X_2), G(X_4), AntiPart  OffShell t(V_0), Vertex V_1:t(X_1), G(X_3),  OffShell t(V_1),",/ * * NEG i ^ g_2 + + + + + + * * * * p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star t_idx_3_spi_pv_star t_col_idx_2_spi_pu * * * NEG 1/2 p_lor gamma_lor_spi gamma * * * * lor_spi_spi gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star t_idx_3_spi_pv_star t_col_idx_2_spi_pu + s * NEG 1/2 reg_prop,+ * * * * 16/27 ^ g_4 s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * 32/27 i ^ g_2 + / * * * i ^ g_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/2 i ^ g_2 ^ 2 + s_s * 2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qcd
AntiPart c eps (X) AntiPart e nu (X) to AntiPart c del (X)^(*) AntiPart f rho (X),"Vertex V_1:AntiPart c(X_1), AntiPart c(X_3),  OffShell G(V_1), Vertex V_0:G(X_2), G(X_4),  OffShell G(V_0),",/ * * NEG 1/2 g + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + * * * * * * i g p_lor gamma_lor_spi T_2_col_idx_idx_4_idx_idx_3 T_2_col_idx_idx_3_idx_idx_5_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * * * * NEG i g p_lor gamma_lor_spi T_2_col_idx_idx_4_idx_idx_3 T_2_col_idx_idx_3_idx_idx_5_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * * * * NEG i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_5 T_2_col_idx_idx_4_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * * * * i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_5 T_2_col_idx_idx_4_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * * * * * NEG 2 i g p_lor gamma_lor_spi T_2_col_idx_idx_4_idx_idx_3 T_2_col_idx_idx_3_idx_idx_5_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * * * * * 2 i g p_lor gamma_lor_spi T_2_col_idx_idx_4_idx_idx_3 T_2_col_idx_idx_3_idx_idx_5_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * * * * * 2 i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_5 T_2_col_idx_idx_4_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * * * * * NEG 2 i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_5 T_2_col_idx_idx_4_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * * * * i g p_lor gamma_lor_spi T_2_col_idx_idx_4_idx_idx_3 T_2_col_idx_idx_3_idx_idx_5_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * * * * NEG i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_5 T_2_col_idx_idx_4_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * NEG 2 i g p * * * * * lor gamma_lor_spi T_2_col_idx_idx_4_idx_idx_3 T_2_col_idx_idx_3_idx_idx_5_idx_6_col_lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * 2 i g p * * * * * lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_5 T_2_col_idx_idx_4_idx_idx_3_idx_6_col_lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * * * * i g p_lor gamma_lor_spi T_2_col_idx_idx_4_idx_idx_3 T_2_col_idx_idx_3_idx_idx_5_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star * * * * * * NEG i g p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_5 T_2_col_idx_idx_4_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_star_col_idx_5_spi_pv_col_idx_4_spi_pv_star + + mass_c_sq NEG s * 1/2 reg_prop,+ + + + + * * * NEG 1/2304 ^ g_4 + + * s_s + * 128 ^ 2 * NEG 64 s_s * * NEG 1024 ^ 2 + ^ 2 * NEG 1/2 s_s * * NEG 224 ^ 2 + s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * NEG 1/2304 i ^ g_2 + + + + / * * * i ^ g_2 + * 128 ^ 2 * NEG 64 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * 1024 i ^ g_2 + ^ 2 * NEG 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * NEG i ^ g_2 + * 128 ^ 2 * NEG 64 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * NEG 1024 i ^ g_2 + ^ 2 * NEG 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * 576 i ^ g_2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop / * * * NEG 4/9 i ^ g_2 + + / * * * i ^ g_2 + ^ 2 * NEG 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * NEG 1/1024 i ^ g_2 + * 128 ^ 2 * NEG 64 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * 1/2 i ^ g_2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop / * * * NEG 1/2304 i ^ g_2 + + / * * i ^ g_2 + + * + * 128 ^ 2 * NEG 64 s_s * * NEG 1024 + ^ 2 * NEG 1/2 s_s * * 64 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * NEG i ^ g_2 + + * s_s + * 128 ^ 2 * NEG 64 s_s * * NEG 1024 ^ 2 + ^ 2 * NEG 1/2 s_s * * NEG 224 ^ 2 + s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 2 i ^ g_2 + + * ^ 2 + * 128 ^ 2 * NEG 64 s_s * * NEG 1024 s_s + ^ 2 * NEG 1/2 s_s * * NEG 224 ^ 2 + s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 7/18 i ^ g_2 + + + + + + + / * * * i ^ g_2 ^ 2 + ^ 2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * 16/7 i ^ g_2 + ^ 2 * NEG 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * NEG 1/448 i ^ g_2 + * 128 ^ 2 * NEG 64 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * 9/7 i ^ g_2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * NEG 1/112 i ^ g_2 + + + * ^ 2 + * 128 ^ 2 * NEG 64 s_s * * NEG 1024 s_s + ^ 2 * NEG 1/2 s_s * * 128 s_s * * NEG 224 ^ 2 + s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 1/224 i ^ g_2 + + + * s_s + * 128 ^ 2 * NEG 64 s_s * * NEG 1024 ^ 2 + ^ 2 * NEG 1/2 s_s * * NEG 1024 s_s * * NEG 224 ^ 2 + s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 8/7 i ^ g_2 + * s_s * * 7/16 ^ 2 + s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * NEG i ^ g_2 + + + + * ^ 2 + ^ 2 s_s * * NEG 1/448 + * 128 ^ 2 * NEG 64 s_s * * 16/7 + ^ 2 * NEG 1/2 s_s * * NEG 1/7 s_s * * 1/2 ^ 2 + s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop / * * * NEG 7/18 i ^ g_2 + + + + + + + + / * * * i ^ g_2 ^ 2 + ^ 2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * NEG 1/448 i ^ g_2 + * 128 ^ 2 * NEG 64 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * NEG 16/7 i ^ g_2 + ^ 2 * NEG 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * 1/448 i ^ g_2 + * 128 ^ 2 * NEG 64 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * 16/7 i ^ g_2 + ^ 2 * NEG 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * * NEG 17/7 i ^ g_2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * NEG 1/224 i ^ g_2 + + + * s_s + * 128 ^ 2 * NEG 64 s_s * * NEG 1024 ^ 2 + ^ 2 * NEG 1/2 s_s * * NEG 1024 s_s * * NEG 224 ^ 2 + s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * NEG i ^ g_2 + * ^ 2 + ^ 2 s_s * * 1/2 ^ 2 + s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * NEG 1/7 i ^ g_2 + * s_s * * NEG 7/2 ^ 2 + s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
AntiPart e beta (X) nu (X) to AntiPart e gam (X)^(*) AntiPart nu (X),"Vertex V_1:AntiPart e(X_3), A(X_4),  OffShell e(V_1), Vertex V_0:A(X_2), AntiPart e(X_1), AntiPart  OffShell e(V_0),",/ * * i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p e_spi_0_pv e_spi_1_pv_star * * 1/2 p lambda gamma * * * lambda s s gamma_lor_spi gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p e_spi_4_pv e_spi_5_pv_star + s * 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qed
AntiPart mu gam (X) AntiPart c gam (X) to AntiPart mu del (X)^(*) AntiPart c eps (X)^(*),"Vertex V_1:AntiPart c(X_2), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0:AntiPart mu(X_1), AntiPart mu(X_3),  OffShell A(V_0),",+ * * * * 1/3 i ^ e_2 gamma lambda s b_spi gamma / * * * * lambda s alpha_5876 c_spi_0_pv_star c_b_spi_pv mu_alpha_5876_pv mu_spi_1_pv_star + + mass_mu_sq NEG s * 1/2 reg_prop,* * * 1/9 ^ e_4 + + + + * * 16 ^ 2 ^ m_mu_2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ m_mu_2 s_s * * 8 s_s s_s ^ + + ^ m_mu_2 NEG s_s * 1/2 reg_prop NEG 2,qed
s gam (X)^(*) AntiPart sigma (X) to s eta (X) AntiPart lambda (X),"Vertex V_0:A(X_2), s(X_3), AntiPart  OffShell s(V_0), Vertex V_1:s(X_1), A(X_4),  OffShell s(V_1),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * s_star s * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * s_star s + s * NEG 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
AntiPart u gam (X) f rho (X) to AntiPart u del (X)^(*) AntiPart g tau (X),"Vertex V_1:AntiPart u(X_3), G(X_4),  OffShell u(V_1), Vertex V_0:G(X_2), AntiPart u(X_1), AntiPart  OffShell u(V_0),",/ * * i ^ g_2 + + + + + + * * * * p_lor gamma_lor_spi_col T_2_col_idx_idx_4_idx_idx_3 T_2_col_idx_idx_3_idx_idx_5_idx_6_col * lor p_idx_6_col_col * * lor p_star u_col_idx_4_spi_pv_star u_col_idx_5_del_col_pv * * * * 1/2 p_lor gamma_lor_spi gamma_lor_spi_col gamma * * * lor_spi_spi T_2_col_idx_idx_4_idx_idx_3 T_2_col_idx_idx_3_idx_idx_5_idx_6_col * lor p_idx_6_col_col * * lor p_star u_col_idx_4_spi_pv_star u_col_idx_5_del_col_pv + s * 1/2 reg_prop,+ * * * * 4/9 ^ g_4 s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 8/9 i ^ g_2 + / * * * i ^ g_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ g_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qcd
